Item Number,Qty On Hand,Qty Backordered,Qty On Order,Item Next Availability Date,Item d (1),Item Description
CHS-022,2,,,,0,Sahara Stackable Armchair Fully Built 4 pcs each box
CHS-033,1,,,,0,Catalina Stackable Armchair Fully Built 4 pcs each box
CHS-055,4,,,,0,Aspen Stackable Armchair Fully Built 4 pcs each box
CHS-2522,0,,,8/30/2022,0,Seville Stackable Armchair (sold as 4 Chair/box)
CHS-622,0,,,,1,Sheraton  Chair
DS-016A,0,,,,1,Bellagio Deep Seating Armchair with Teak Wood Arm 
DS-016LS,0,,,,1,Bellagio Deep Seating Love Seat with Teak Wood Arm 
DS-035SR,0,,,,1,Montebello Deep Seating Armchair including Cushion
DS-1001,2,,,,0,Lucca Armchair
DS-1002,0,,,8/30/2022,0,Lucca Center Chair
DS-1003,4,,,,0,Lucca Corner Chair
DS-1004,2,,,,0,Lucca Right Loveseat
DS-1005,2,,,,0,Lucca Left Loveseat
DS-1006,6,,,,0,Lucca Side Table
DS-1006O,5,,,,0,Lucca Ottoman
DS-1007,7,,,,0,Lucca Rectangular Coffee Table
DS-101,18,,,,0,Brianna DS Armchair including Cushion
DS-102,16,,,,0,Brianna DS Loveseat including Cushion
DS-103,20,,,,0,Brianna DS Sofa including Cushion
DS-104,72,,,,0,Brianna Ottoman including Cushion
DS-183BH,1,,,,0,Brisbane Bench
DS-201,12,,,,0,Copacabana Deep seating Armchair
DS-202,13,,,,0,Copacabana Center Modular
DS-203,4,,,,0,Copacabana Corner Modular
DS-204,2,,,,0,Copacabana Right Loverseat Modular
DS-205,8,,,,0,Copacabana Left Loverseat Modular
DS-206,7,,,,0,Copacabana Ottoman
DS-207,8,,,,0,Copacabana Coffee Table
DS-208,8,,,,0,Copacabana Side Table
DS-301,29,,,,0,Coronado Deep Seating Armchair
DS-3011,11,,,,0,SouthBay Deep Seating Armchair
DS-3012,9,,,,0,SouthBay Deep Seating Love Seat
DS-3013,2,,,,0,SouthBay Deep Seating Sofa
DS-3014,11,,,,0,SouthBay Rectangular Coffee Table
DS-3015,23,,,,0,SouthBay Square Side Table
DS-3016,18,,,,0,SouthBay Deep Seating Ottoman
DS-3017,3,,,,0,SouthBay Round Coffee Table
DS-302,7,,,,0,Coronado Deep Seating Loveseat
DS-3025,19,,,,0,Amalfi Deep Seating Armchair
DS-3026,62,,,,0,Amalfi Side Table
DS-303,11,,,,0,Coronado Deep Seating Sofa
DS-304,31,,,,0,Coronado Ottoman
DS-305,19,,,,0,Coronado Rectangular Coffee table
DS-306,27,,,,0,Coronado Side Table
DS-308,0,,,6/30/2022,0,Coronado Deep Seating Swivel Armchair
DS-310,1,,,,0,Coronado Daybed
DS-501,25,,,,0,Luxe Armchair
DS-5010A,7,,,,1,Coto de Casa Deep Seating Armchair
DS-5010L,3,,,,1,Coto de Casa Deep Seating Loveseat
DS-502,10,,,,0,Luxe Right Modular
DS-503,17,,,,0,Luxe Left Modular
DS-504,18,,,,0,Luxe Corner Modular
DS-505,30,,,,0,Luxe Center Modular
DS-506,31,,,,0,Luxe Rect. Coffee Table
DS-507,2,,,,0,Luxe Square Coffee Table
DS-508,21,,,,0,Luxe Square Side Table
DS-509,19,,,,0,Luxe Ottoman
DS-601,26,,,,0,Riviera Armchair
DS-602,21,,,,0,Riviera Right Modular
